Unnamed: 0,Drug,Recommendation,Rationale,Creatinine Clearance,Condition,ExStandardized
344,Dexchlorpheniramine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CHLORPHENIRAMINE
345,Thioridazine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,THIORIDAZINE
346,Dimenhydrinate,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DIMENHYDRINATE
347,Trifluoperazine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,TRIFLUOPERAZINE
348,Diphenhydramine (oral),Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DIPHENHYDRAMINE
349,Doxylamine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DOXYLAMINE
350,Hydroxyzine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,HYDROXYZINE
351,Atropine (excludes ophthalmic),Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,ATROPINE
352,Meclizine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,MECLIZINE
353,Belladonna alkaloids,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,BELLADONNA ALKALOIDS
354,Clidinium/Chlordiazepoxide,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CHLORDIAZEPOXIDE/CLIDINIUM
355,Scopolamine (excludes ophthalmic),Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,SCOPOLAMINE
356,Dicyclomine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DICYCLOMINE
357,Homatropine (excludes ophthalmic),Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,HOMATROPINE
358,Hyoscyamine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,HYOSCYAMINE
359,Cyclobenzaprine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CYCLOBENZAPRINE
360,Methscopolamine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,METHYLSCOPOLAMINE
361,Orphenadrine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,ORPHENADRINE
