,Drug,Recommendation,Rationale,Creatinine Clearance,Condition
359,Cyclobenzaprine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
360,Methscopolamine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
361,Orphenadrine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
362,Propantheline,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
363,Alprazolam,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
364,Estazolam,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
365,Lorazepam,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
366,Oxazepam,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
367,Temazepam,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
368,Triazolam,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
369,Chlordiazepoxide,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
370,Clonazepam,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
371,Clorazepate,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium
